strand;type;clone;glyc_stock_box_as_plasmid;comment_as_plasmid;origin_id;date_as_plasmid;Created at;Updated at;qc validation;name;temp_name;number;strict_validation;plasmid_validation;target
Unknown;Unknown;;1;Lenti rapporteur;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;pLVi-VMD2-GFP;None;1;0;1;Unknown
Unknown;Unknown;;1;Lenti rapporteur;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;pTrip-Rho-GFPdU3;None;2;0;1;Unknown
Unknown;Unknown;;1;AAV;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;pAAV-CMV-NL-ires-GFP;None;3;0;1;Ubiquitous
Unknown;Unknown;;1;pENTR;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;No-name;None;4;0;1;Unknown
Unknown;Unknown;;1;pENTR;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;pENTR/D-VMD2;None;5;0;1;Unknown
Unknown;Unknown;;1;AAV;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;pAAV-CMV-V65ires GFP;None;6;0;1;Ubiquitous
Unknown;Unknown;;0;AAV transgene;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;pAAV-CMV-V65;None;7;0;1;Ubiquitous
Unknown;Unknown;;1;AAV transgene ctrl;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;pAAV-CMV-NL;None;8;0;1;Ubiquitous
Unknown;Unknown;;1;Lenti;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;pLVi-EF1-dU3;None;9;0;1;Unknown
Unknown;Unknown;;1;Lenti;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;pLVi-EF1-wdU3;None;10;0;1;Unknown
Unknown;Unknown;;0;AAV packaging;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;pRepCap4;None;11;0;1;Unknown
Unknown;Unknown;;1;Lenti;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;pLVi-PGK-LacZ;None;12;0;1;Unknown
Unknown;Unknown;;1;AAV;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;pssAAV-CAG-ChR2d(L132C)-nlsGFP;None;13;0;1;Ubiquitous
Unknown;Unknown;;0;AAV packaging;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;pXR2;None;14;0;1;Unknown
Unknown;Unknown;;1;;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;pGEM-T/easy;None;15;0;1;Unknown
Unknown;Unknown;;1;Rapporteur;1;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;2017-08-21 15:04:44 UTC;true;bRho-mCherry;None;16;0;1;Unknown
