production_id;plate_id;created_at;username;name;titer;titer_atcc;titer_to_atcc;date_of_production
2;1634;July 20, 2016;crobert;2 (w);36900000000000,00;18300000000,00;66137704918032,80;June 15, 2012
2;1635;July 21, 2016;crobert;2 (w);34300000000000,00;8190000000,00;137367521367521,00;June 15, 2012
17;1626;June 9, 2016;crobert;017 (WDS);3540000000000,00;5820000000,00;19950515463917,50;September 27, 2012
17;1627;June 16, 2016;crobert;017 (WDS);2270000000000,00;13000000000,00;5727384615384,62;September 27, 2012
17;1625;June 1, 2016;crobert;017 (WDS) ;17600000000000,00;265000000000,00;2178415094339,62;September 27, 2012
20;1645;October 5, 2016;crobert;20;1460000000000,00;34000000000,00;1408470588235,29;April 10, 2012
24;16-49;November 4, 2016;crobert;024 wds;43200000000000,00;4440000000,00;319135135135135,00;October 25, 2012
24;1650;November 9, 2016;jmurat;024 wds;753000000000000,00;52900000000,00;466888468809074,00;October 25, 2012
24;1651;November 16, 2016;crobert;024 wds;68000000000000,00;13100000000,00;170259541984733,00;October 25, 2012
25;1649;November 4, 2016;crobert;025 wds;9900000000000,00;4440000000,00;73135135135135,10;August 11, 2012
25;1650;November 9, 2016;jmurat;025 wds;132000000000000,00;52900000000,00;81844990548204,20;August 11, 2012
25;1651;November 16, 2016;crobert;025 wds;14000000000000,00;13100000000,00;35053435114503,80;August 11, 2012
26;16-49;November 4, 2016;crobert;026 wds;70300000000000,00;4440000000,00;519333333333333,00;November 15, 2012
26;1650;November 9, 2016;jmurat;026 wds;851000000000000,00;52900000000,00;527652173913043,00;November 15, 2012
26;1651;November 16, 2016;crobert;026 wds;110000000000000,00;13100000000,00;275419847328244,00;November 15, 2012
27;16-49;November 4, 2016;crobert;027 wds;76700000000000,00;4440000000,00;566612612612613,00;November 15, 2012
27;1650;November 9, 2016;jmurat;027 wds;726000000000000,00;52900000000,00;450147448015123,00;November 15, 2012
27;1651;November 16, 2016;crobert;027 wds;82200000000000,00;13100000000,00;205813740458015,00;November 15, 2012
31;1707;August 2, 2017;jmurat;31 WDS;1320000000000,00;31900000000,00;1357241379310,34;March 12, 2012
32;1707;August 2, 2017;jmurat;32 WDS;10900000000,00;31900000000,00;11207523510,97;March 12, 2012
33;1707;August 2, 2017;jmurat;33 WDs;10100000000,00;31900000000,00;10384952978,06;March 12, 2012
43;1430;September 10, 2014;mdesrosiers;43m;247000000000,00;2460000000,00;3293333333333,33;January 24, 2013
49;1727;July 12, 2017;crobert;49wds;120000000000000,00;18500000000,00;212756756756757,00;April 2, 2013
63;1724;June 21, 2017;crobert;63 WDS;40300000000,00;16400000000,00;80600000000,00;August 3, 2013
64;1724;June 21, 2017;crobert;64 WDS;315000000000,00;16400000000,00;630000000000,00;March 14, 2013
65;1724;June 21, 2017;crobert;65 WDS ;58000000000000,00;16400000000,00;116000000000000,00;March 22, 2013
66;1725;June 27, 2017;crobert;66 WDS;9710000000000,00;16500000000,00;19302303030303,00;March 28, 2013
67;1725;June 27, 2017;crobert;67 WDS;4700000000000,00;16500000000,00;9343030303030,30;April 22, 2013
68;1725;June 27, 2017;crobert;68 WDS;6440000000000,00;16500000000,00;12801939393939,40;April 30, 2013
69;1725;June 27, 2017;crobert;69 WDS;90700000000000,00;16500000000,00;180300606060606,00;April 30, 2013
70;1727;July 12, 2017;crobert;70wds;5120000000000,00;18500000000,00;9077621621621,62;April 30, 2013
72;1727;July 12, 2017;crobert;72wds;20800000000000,00;18500000000,00;36877837837837,80;May 24, 2013
73;1727;July 12, 2017;crobert;73wds;417000000000,00;18500000000,00;739329729729,73;May 31, 2013
75;1730;August 2, 2017;crobert;75wds;563000000000,00;1940000000,00;9518762886597,94;June 6, 2013
75;1731;August 3, 2017;mdesrosiers;75wds;917000000000,00;14800000000,00;2032270270270,27;June 6, 2013
76;1730;August 2, 2017;crobert;76wds;2550000000000,00;1940000000,00;43113402061855,70;June 6, 2013
76;1731;August 3, 2017;mdesrosiers;76wds;4460000000000,00;14800000000,00;9884324324324,32;June 6, 2013
77;1730;August 2, 2017;crobert;77wds;38500000000000,00;1940000000,00;650927835051546,00;June 6, 2013
77;1731;August 3, 2017;mdesrosiers;77wds;58700000000000,00;14800000000,00;130091891891892,00;June 6, 2013
78;1730;August 2, 2017;crobert;78wds;43400000000,00;1940000000,00;733773195876,29;June 6, 2013
78;1731;August 3, 2017;mdesrosiers;78wds;79900000000,00;14800000000,00;177075675675,68;June 6, 2013
79;1733;August 17, 2017;crobert;79WDS;67300000000000,00;17900000000,00;123320670391061,00;November 6, 2013
80;1733;August 17, 2017;crobert;80WDS;67100000000000,00;17900000000,00;122954189944134,00;November 6, 2013
81;1733;August 17, 2017;crobert;81WDS;55300000000,00;17900000000,00;101331843575,42;November 6, 2013
82;1733;August 17, 2017;crobert;82WDS;40800000000,00;17900000000,00;74762011173,18;June 14, 2013
112;1510;February 25, 2015;emace;112 A;12300000000000,00;42300000000,00;9537588652482,27;October 17, 2013
112;1510;February 25, 2015;emace;112 B;2180000000000,00;42300000000,00;1690401891252,96;October 17, 2013
142;1430;September 10, 2014;mdesrosiers;142m;11800000000,00;2460000000,00;157333333333,33;February 4, 2014
252;1431;September 18, 2014;emace;252m;95900000000,00;40100000000,00;78441895261,85;December 12, 2014
260;1430;September 10, 2014;mdesrosiers;260m;112000000000,00;2460000000,00;1493333333333,33;January 9, 2014
260;1431;September 18, 2014;emace;260v2m;173000000000,00;40100000000,00;141506234413,97;January 9, 2014
331;1427;July 30, 2014;eduvelle;331 réinactivé;7220000000,00;2810000000,00;84276156583,63;May 29, 2015
331;1428;August 6, 2014;eduvelle;331 réinactivé;49700000000,00;6490000000,00;251180277349,77;May 29, 2015
331;1427;July 30, 2014;eduvelle;331- redosage;11500000000,00;2810000000,00;134234875444,84;May 29, 2015
336;1430;September 10, 2014;mdesrosiers;336m;691000000000,00;2460000000,00;9213333333333,33;June 5, 2015
376;1439;November 20, 2014;cwinkler;376 réinactivé;4280000000000000,00;171000000000,00;820959064327485,00;November 20, 2015
376;1440;November 25, 2014;cwinkler;376 réinactivé;231000000000000,00;24400000000,00;310524590163934,00;November 20, 2015
377;1439;November 20, 2014;cwinkler;377 réinactivé;2730000000000000,00;171000000000,00;523649122807017,00;November 27, 2015
377;1441;November 26, 2014;cwinkler;377 réinactivé;253000000000000,00;91000000000,00;91191208791208,80;November 27, 2015
378;1439;November 20, 2014;cwinkler;378 réinactivé;49900000000000,00;171000000000,00;9571461988304,09;November 27, 2015
378;1441;November 26, 2014;cwinkler;378 réinactivé;3110000000000,00;91000000000,00;1120967032967,03;November 27, 2015
379;1439;November 20, 2014;cwinkler;379 réinactivé;23000000000000000,00;171000000000,00;4411695906432750,00;November 27, 2015
379;1441;November 26, 2014;cwinkler;379 réinactivé;2690000000000000,00;91000000000,00;969582417582418,00;November 27, 2015
412;1502;January 22, 2015;emace;412 A;42500000000000,00;191000000000,00;7298429319371,73;February 19, 2016
412;1503;January 28, 2015;emace;412 A;13100000000000,00;47600000000,00;9026890756302,52;February 19, 2016
412;1502;January 22, 2015;emace;412 B;22300000000000,00;191000000000,00;3829528795811,52;February 19, 2016
412;1503;January 28, 2015;emace;412 B;5310000000000,00;47600000000,00;3658991596638,66;February 19, 2016
413;1502;January 22, 2015;emace;413 A;59900000000000,00;191000000000,00;10286492146596,90;February 19, 2016
413;1503;January 28, 2015;emace;413 A;19000000000000,00;47600000000,00;13092436974789,90;February 19, 2016
413;1502;January 22, 2015;emace;413 B;56600000000000,00;191000000000,00;9719790575916,23;February 19, 2016
413;1503;January 28, 2015;emace;413 B;21300000000000,00;47600000000,00;14677310924369,70;February 19, 2016
418;1503;January 28, 2015;emace;418 A;10600000000000,00;47600000000,00;7304201680672,27;March 1, 2016
418;1503;January 28, 2015;emace;418 B;12300000000000,00;47600000000,00;8475630252100,84;March 1, 2016
419;1503;January 28, 2015;emace;419 A;34900000000000,00;47600000000,00;24048739495798,30;March 1, 2016
419;1503;January 28, 2015;emace;419 B;28200000000000,00;47600000000,00;19431932773109,20;March 1, 2016
420;1504;February 4, 2015;emace;420 A;10200000000000,00;176000000000,00;1900909090909,09;March 4, 2016
420;1504;February 4, 2015;emace;420 B;6620000000000,00;176000000000,00;1233727272727,27;March 4, 2016
421;1504;February 4, 2015;emace;421 A;42200000000000,00;176000000000,00;7864545454545,46;March 4, 2016
421;1504;February 4, 2015;emace;421 B;37600000000000,00;176000000000,00;7007272727272,73;March 4, 2016
422;1510;February 25, 2015;emace;422 A;745000000000,00;42300000000,00;577683215130,02;March 4, 2016
422;1510;February 25, 2015;emace;422 B;7080000000000,00;42300000000,00;5489929078014,18;March 4, 2016
422;1504;February 4, 2015;emace;422 III;6170000000000,00;176000000000,00;1149863636363,64;March 4, 2016
422;1504;February 4, 2015;emace;422 VI;16400000000000,00;176000000000,00;3056363636363,64;March 4, 2016
423;1504;February 4, 2015;emace;423;37000000000000,00;176000000000,00;6895454545454,55;March 4, 2016
425;1510;February 25, 2015;emace;425 A;1470000000000,00;42300000000,00;1139858156028,37;March 14, 2016
425;1510;February 25, 2015;emace;425 B;819000000000,00;42300000000,00;635063829787,23;March 14, 2016
432;1509;February 23, 2015;emace;432 A;28900000000000,00;41200000000,00;23007766990291,30;April 8, 2016
432;1509;February 23, 2015;emace;432 B;23100000000000,00;41200000000,00;18390291262135,90;April 8, 2016
433;1509;February 23, 2015;emace;433 A;5930000000000,00;41200000000,00;4720970873786,41;April 8, 2016
433;1509;February 23, 2015;emace;433 B;17800000000000,00;41200000000,00;14170873786407,80;April 8, 2016
434;1509;February 23, 2015;emace;434 A;30000000000000,00;41200000000,00;23883495145631,10;April 8, 2016
434;1509;February 23, 2015;emace;434 B;23300000000000,00;41200000000,00;18549514563106,80;April 8, 2016
