"strand";"type";"clone";"glyc_stock_box_as_plasmid";"comment_as_plasmid";"origin_as_plasmid";"date_as_plasmid";"Created at";"Updated at";"Qc validation";"name";"temp_name";"number"
"unknown";"unknown";"";"1";"Lenti rapporteur";"IDV";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"true";"pLVi-VMD2-GFP";"None";"1"
"unknown";"unknown";"";"1";"Lenti rapporteur";"IDV";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"true";"pTrip-Rho-GFPdU3";"None";"2"
"unknown";"unknown";"";"1";"AAV";"IDV";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"true";"pAAV-CMV-NL-ires-GFP";"None";"3"
"unknown";"unknown";"";"1";"pENTR";"IDV";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"true";"No-name";"None";"4"
"unknown";"unknown";"";"1";"pENTR";"IDV";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"true";"pENTR/D-VMD2";"None";"5"
"unknown";"unknown";"";"1";"AAV";"IDV";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"true";"pAAV-CMV-V65ires GFP";"None";"6"
"unknown";"unknown";"";"0";"AAV transgene";"IDV";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"true";"pAAV-CMV-V65";"None";"7"
"unknown";"unknown";"";"1";"AAV transgene ctrl";"IDV";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"true";"pAAV-CMV-NL";"None";"8"
"unknown";"unknown";"";"1";"Lenti";"IDV";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"true";"pLVi-EF1-dU3";"None";"9"
"unknown";"unknown";"";"1";"Lenti";"IDV";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"true";"pLVi-EF1-wdU3";"None";"10"
"unknown";"unknown";"";"0";"AAV packaging";"IDV";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"2017-08-21 15:04:44 UTC";"true";"pRepCap4";"None";"11"
