clone_id;enzyme_id
107;1
17;1
32;1
37;1
38;1
52;1
94;1
103;1
106;1
139;1
140;1
141;1
142;1
3;2
26;2
27;2
50;2
59;2
65;2
66;2
97;2
99;2
102;2
113;2
129;2
145;2
13;2
14;2
15;2
18;2
19;2
28;2
39;2
54;2
56;2
57;2
58;2
60;2
61;2
62;2
63;2
64;2
67;2
68;2
69;2
70;2
71;2
72;2
73;2
74;2
75;2
82;2
87;2
89;2
90;2
100;2
109;2
111;2
115;2
119;2
121;2
122;2
125;2
132;2
133;2
134;2
136;2
146;2
147;2
150;2
152;2
153;2
154;2
159;2
165;2
168;2
7;3
8;3
77;2
120;5
17;6
25;6
45;6
47;6
48;6
49;6
51;6
52;6
83;6
103;6
106;6
138;6
46;6
92;6
93;6
108;6
117;6
118;6
128;6
143;6
144;6
148;6
149;6
151;6
166;6
172;7
48;7
49;7
32;7
12;7
30;7
31;7
104;7
112;7
116;7
137;7
150;8
152;8
162;8
163;8
110;9
79;10
158;10
80;10
80;14
78;10
5;11
111;11
128;11
35;12
40;12
114;12
12;13
53;13
60;13
9;14
10;14
11;14
13;14
14;14
15;14
28;14
33;14
39;14
56;14
57;14
58;14
61;14
62;14
63;14
64;14
67;14
68;14
69;14
70;14
71;14
72;14
73;14
74;14
75;14
77;14
78;14
79;14
80;14
81;14
82;14
89;14
90;14
91;14
96;14
100;14
101;14
104;14
109;14
115;14
119;14
121;14
122;14
132;14
133;14
136;14
137;14
146;14
147;14
148;14
149;14
151;14
159;14
160;14
165;14
167;14
168;14
123;14
145;14
24;22
102;15
135;15
18;16
19;16
54;16
88;16
4;16
7;16
8;16
9;16
10;16
11;16
16;16
91;16
97;16
98;16
113;16
158;16
162;16
163;16
77;17
47;17
50;17
51;17
83;17
138;17
81;17
16;18
29;18
43;18
44;18
55;18
35;18
40;18
45;18
160;18
30;19
31;19
84;19
112;19
134;19
135;19
114;19
120;19
2;20
23;20
24;20
34;20
36;20
41;20
85;20
86;20
87;20
92;20
98;20
108;20
117;20
118;20
123;20
143;20
144;20
166;20
171;20
25;20
33;20
53;20
99;20
34;21
41;21
21;22
22;22
37;22
38;22
125;22
139;22
140;22
141;22
142;22
153;22
154;22
23;22
101;22
110;22
5;23
4;24
116;24
84;24
126;24
127;24
46;25
93;25
94;25
2;25
96;25
