clone_id;backbone_id;insert_id
1;;
2;202;222
3;33;275
4;33;213
5;257;273
6;253;
7;120;235
8;120;199
9;185;280
10;185;281
11;185;282
12;293;283
13;120;92
14;120;199
15;120;209
16;253;
17;289;235
18;120;231
19;120;190
20;33;213
21;336;214
22;335;214
23;336;
24;335;
25;339;339
26;120;304
27;120;333
28;120;289
29;120;257
30;301;338
31;301;337
32;93;336
33;93;333
34;190;333
35;231;333
36;93;292
37;360;292
38;360;292
39;120;324
40;231;304
41;190;304
42;92;
43;302;360
44;289;360
45;301;378
46;304;256
47;391;93
48;304;93
49;304;93
50;393;121
51;242;120
52;360;257
53;93;258
54;409;354
55;120;89
56;120;199
57;120;449
58;120;234
59;120;332
60;120;403
61;120;306
62;120;91
63;120;90
64;120;370
65;120;290
66;120;277
67;120;190
68;120;360
69;120;261
70;120;429
71;120;431
72;120;333
73;120;263
74;120;430
75;120;304
76;234;-
77;290;354
78;290;364
79;290;434
80;290;454
81;290;120
82;364;
83;276;120
84;284;120
85;93;444
86;93;445
87;364;445
88;457;496
89;487;508
90;338;293
91;120;293
92;360;293
93;304;273
94;401;
95;;
96;304;
97;368;290
98;190;370
99;364;290
100;120;332
101;342;480
102;305;418
103;349;436
104;293;559
105;349;
106;360;93
107;556;570
108;360;364
109;472;333
110;;333
111;305;560
112;560;93
113;120;121
114;121;120
115;120;443
116;303;120
117;360;582
118;360;187
119;566;89
120;443;541
121;365;120
122;365;583
123;178;526
124;170;
125;571;514
126;481;552
127;481;598
128;231;
129;120;478
130;436;
131;;551
132;566;596
133;566;
134;554;481
135;554;233
136;487;482
137;304;552
138;242;267
139;360;340
140;360;93
141;360;235
142;360;233
143;573;657
144;573;656
145;566;566
146;566;532
147;566;501
148;369;362
149;369;370
150;693;370
151;369;541
152;693;541
153;434;719
154;434;719
155;479;698
156;479;699
157;228;304
158;479;557
159;120;282
160;752;772
161;185;242
162;700;479
163;701;479
164;642;
165;566;501
166;573;763
167;120;360
168;566;501
169;;752
170;772;752
171;190;454
172;708;241
173;;
174;237;
175;92;235
176;;
1;;
2;;224
3;;
4;;
5;;
6;;
7;;
8;;
9;;
10;;
11;;
12;;
13;;
14;;
15;;
16;;
17;;
18;;
19;;
20;;244
21;;
22;;
23;;
24;;
25;;
26;;
27;;
28;;
29;;
30;;
31;;
32;;
33;;
34;;
35;;
36;;
37;;
38;;
39;;
40;;
41;;
42;;
43;380;
44;379;
45;;
46;;
47;;
48;;
49;;391
50;;
51;;
52;;
53;;
54;;
55;;
56;;
57;;
58;;
59;;
60;;
61;;
62;;
63;;
64;;
65;;
66;;
67;;
68;;
69;;
70;;
71;;
72;;
73;;
74;;
75;;
76;;
77;;
78;;
79;;
80;;
81;;
82;;
83;;267
84;285;
85;;
86;;
87;;
88;;
89;;
90;;
91;;
92;;
93;;
94;;
95;;
96;;
97;;
98;;
99;;
100;;
101;;
102;;
103;;
104;;
105;;
106;;
107;;
108;;
109;;
